index,singlish,english
2281,Ironing clothes is very hot and sweaty.,Ironing clothes is very hot and sweaty.
2282,I need to iron my clothes for the photoshoot.,I need to iron my clothes for the photoshoot.
2283,"This iron very good, can adjust temperature.","This iron is very good, you can adjust the temperature."
2284,I need to iron my clothes for the trip.,I need to iron my clothes for the trip.
2285,Ironing clothes is very tedious.,Ironing clothes is very tedious.
2286,I need to iron my clothes for the conference.,I need to iron my clothes for the conference.
2287,This iron very expensive leh.,This iron is very expensive.
2288,I need to iron my clothes for the dinner.,I need to iron my clothes for the dinner.
2289,Ironing clothes is very boring.,Ironing clothes is very boring.
2290,I need to iron my clothes for the ceremony.,I need to iron my clothes for the ceremony.
2291,This iron very noisy leh.,This iron is very noisy.
2292,I need to iron my clothes for the photoshoot.,I need to iron my clothes for the photoshoot.
2293,Ironing clothes is very tiring.,Ironing clothes is very tiring.
2294,I need to iron my clothes for the event.,I need to iron my clothes for the event.
2295,"This iron very good, can steam also.","This iron is very good, it can steam as well."
2296,I need to iron my clothes for the meeting.,I need to iron my clothes for the meeting.
2297,Ironing clothes is very troublesome.,Ironing clothes is very troublesome.
2298,I need to iron my clothes for the interview.,I need to iron my clothes for the interview.
2299,This iron very heavy leh.,This iron is very heavy.
2300,I always burn my fingers when I iron.,I always burn my fingers when I iron.
2301,"Wah, this place so dusty ah.","Wow, this place is so dusty."
2302,"Eh, you got dust the shelves or not?","Hey, did you dust the shelves?"
2303,"Aiyo, must dust properly lah.","Oh dear, you must dust properly."
2304,I think we need to dust the fan also.,I think we need to dust the fan as well.
2305,"Don't forget to dust the corners, okay?","Don't forget to dust the corners, alright?"
2306,"This table so dusty, can write my name on it.","This table is so dusty, I can write my name on it."
2307,"Better dust the TV, got so much dust.","You better dust the TV, there's so much dust."
2308,Can you help me dust the windows?,Can you help me dust the windows?
2309,"Wah lau, the dust here is terrible.","Oh my, the dust here is terrible."
2310,"I just dusted yesterday, how come so fast dusty again?","I just dusted yesterday, how did it get dusty again so quickly?"
2311,Don't forget to dust the picture frames.,Don't forget to dust the picture frames.
2312,The bookshelf need dusting already.,The bookshelf needs dusting already.
2313,Can you pass me the duster?,Can you pass me the duster?
2314,"I think we need a new duster, this one not working well.","I think we need a new duster, this one isn't working well."
2315,"Dusting is so tiring, man.",Dusting is so tiring.
2316,"I hate dusting, but must do lah.","I hate dusting, but it has to be done."
2317,Can you help me dust the ceiling fan?,Can you help me dust the ceiling fan?
2318,Don't forget to dust under the bed.,Don't forget to dust under the bed.
2319,The aircon also need dusting.,The air conditioner also needs dusting.
2320,I think we need to dust the curtains too.,I think we need to dust the curtains too.
2321,Dusting the blinds is so troublesome.,Dusting the blinds is so troublesome.
2322,Can you help me dust the lampshade?,Can you help me dust the lampshade?
2323,The top of the fridge also got dust.,The top of the fridge also has dust.
2324,Don't forget to dust the light fixtures.,Don't forget to dust the light fixtures.
2325,I think we need to dust the baseboards.,I think we need to dust the baseboards.
2326,Dusting the vents is very important.,Dusting the vents is very important.
2327,Can you help me dust the computer desk?,Can you help me dust the computer desk?
2328,The TV stand also need dusting.,The TV stand also needs dusting.
2329,Don't forget to dust the coffee table.,Don't forget to dust the coffee table.
2330,I think we need to dust the dining table.,I think we need to dust the dining table.
2331,Dusting the chairs is very important.,Dusting the chairs is very important.
2332,Can you help me dust the kitchen cabinets?,Can you help me dust the kitchen cabinets?
2333,The microwave also need dusting.,The microwave also needs dusting.
2334,Don't forget to dust the toaster.,Don't forget to dust the toaster.
2335,I think we need to dust the oven.,I think we need to dust the oven.
2336,Dusting the stove is very important.,Dusting the stove is very important.
2337,Can you help me dust the dishwasher?,Can you help me dust the dishwasher?
2338,The washing machine also need dusting.,The washing machine also needs dusting.
2339,Don't forget to dust the dryer.,Don't forget to dust the dryer.
2340,I think we need to dust the laundry room.,I think we need to dust the laundry room.
2341,Dusting the garage is very important.,Dusting the garage is very important.
2342,Can you help me dust the car?,Can you help me dust the car?
2343,The bicycle also need dusting.,The bicycle also needs dusting.
2344,Don't forget to dust the garden tools.,Don't forget to dust the garden tools.
2345,I think we need to dust the patio furniture.,I think we need to dust the patio furniture.
2346,Dusting the outdoor grill is very important.,Dusting the outdoor grill is very important.
2347,Can you help me dust the mailbox?,Can you help me dust the mailbox?
2348,The front door also need dusting.,The front door also needs dusting.
2349,Don't forget to dust the welcome mat.,Don't forget to dust the welcome mat.
2350,I think we need to dust the porch light.,I think we need to dust the porch light.
2351,Dusting the fence is very important.,Dusting the fence is very important.
2352,Can you help me dust the garden gnome?,Can you help me dust the garden gnome?
2353,The bird feeder also need dusting.,The bird feeder also needs dusting.
2354,Don't forget to dust the wind chimes.,Don't forget to dust the wind chimes.
2355,I think we need to dust the outdoor lights.,I think we need to dust the outdoor lights.
2356,Dusting the garden hose is very important.,Dusting the garden hose is very important.
2357,Can you help me dust the lawn mower?,Can you help me dust the lawn mower?
2358,The wheelbarrow also need dusting.,The wheelbarrow also needs dusting.
2359,Don't forget to dust the garden shed.,Don't forget to dust the garden shed.
2360,I think we need to dust the compost bin.,I think we need to dust the compost bin.
2361,Dusting the recycling bin is very important.,Dusting the recycling bin is very important.
2362,Can you help me dust the trash can?,Can you help me dust the trash can?
2363,The outdoor bench also need dusting.,The outdoor bench also needs dusting.
2364,Don't forget to dust the swing set.,Don't forget to dust the swing set.
2365,I think we need to dust the sandbox.,I think we need to dust the sandbox.
2366,Dusting the playhouse is very important.,Dusting the playhouse is very important.
2367,Can you help me dust the treehouse?,Can you help me dust the treehouse?
2368,The trampoline also need dusting.,The trampoline also needs dusting.
2369,Don't forget to dust the basketball hoop.,Don't forget to dust the basketball hoop.
2370,I think we need to dust the soccer goal.,I think we need to dust the soccer goal.
2371,Dusting the pool area is very important.,Dusting the pool area is very important.
2372,Can you help me dust the pool toys?,Can you help me dust the pool toys?
2373,The pool ladder also need dusting.,The pool ladder also needs dusting.
2374,Don't forget to dust the pool deck.,Don't forget to dust the pool deck.
2375,I think we need to dust the pool chairs.,I think we need to dust the pool chairs.
2376,Dusting the pool umbrella is very important.,Dusting the pool umbrella is very important.
2377,Can you help me dust the pool float?,Can you help me dust the pool float?
2378,The pool noodles also need dusting.,The pool noodles also need dusting.
2379,Don't forget to dust the pool cover.,Don't forget to dust the pool cover.
2380,I think we need to dust the pool filter.,I think we need to dust the pool filter.
2381,Dusting the pool pump is very important.,Dusting the pool pump is very important.
2382,Can you help me dust the pool heater?,Can you help me dust the pool heater?
2383,The pool skimmer also need dusting.,The pool skimmer also needs dusting.
2384,Don't forget to dust the pool vacuum.,Don't forget to dust the pool vacuum.
2385,I think we need to dust the pool lights.,I think we need to dust the pool lights.
2386,Dusting the pool steps is very important.,Dusting the pool steps is very important.
2387,Can you help me dust the pool handrail?,Can you help me dust the pool handrail?
2388,The pool slide also need dusting.,The pool slide also needs dusting.
2389,Don't forget to dust the pool diving board.,Don't forget to dust the pool diving board.
2390,I think we need to dust the pool fence.,I think we need to dust the pool fence.
2391,Dusting the pool gate is very important.,Dusting the pool gate is very important.
2392,Can you help me dust the pool house?,Can you help me dust the pool house?
2393,The pool shed also need dusting.,The pool shed also needs dusting.
2394,Don't forget to dust the pool equipment.,Don't forget to dust the pool equipment.
2395,I think we need to dust the pool supplies.,I think we need to dust the pool supplies.
2396,Dusting the pool chemicals is very important.,Dusting the pool chemicals is very important.
2397,Can you help me dust the pool net?,Can you help me dust the pool net?
2398,The pool brush also need dusting.,The pool brush also needs dusting.
2399,Don't forget to dust the pool pole.,Don't forget to dust the pool pole.
2400,I think we need to dust the pool hose.,I think we need to dust the pool hose.
2501,"Wah, this painting damn nice leh.","Wow, this painting is really nice."
2502,"Eh, you know how to paint or not?","Hey, do you know how to paint?"
2503,I think this colour too bright lah.,I think this color is too bright.
2504,Can help me touch up this part?,Can you help me touch up this part?
2505,This brush very good for details.,This brush is very good for details.
2506,"Aiyo, I accidentally smudge the paint.","Oh no, I accidentally smudged the paint."
2507,"You need to let it dry first, okay?","You need to let it dry first, okay?"
2508,I prefer using acrylic paint.,I prefer using acrylic paint.
2509,This painting got a lot of texture.,This painting has a lot of texture.
2510,Can you pass me the blue paint?,Can you pass me the blue paint?
2511,I think need to add more layers.,I think we need to add more layers.
2512,This part a bit uneven leh.,This part is a bit uneven.
2513,I like how you blend the colours.,I like how you blend the colors.
2514,Can you help me mix this colour?,Can you help me mix this color?
2515,"This canvas very big, need more paint.","This canvas is very big, we need more paint."
2516,I think this painting needs more contrast.,I think this painting needs more contrast.
2517,"Wah, you paint until so nice!","Wow, you painted it so nicely!"
2518,I need to buy more brushes.,I need to buy more brushes.
2519,This part need to be darker.,This part needs to be darker.
2520,Can you help me hold this?,Can you help me hold this?
2521,I think this painting almost done.,I think this painting is almost done.
2522,I need to clean my brushes.,I need to clean my brushes.
2523,This colour very hard to mix.,This color is very hard to mix.
2524,I like using watercolours.,I like using watercolors.
2525,This painting got a lot of depth.,This painting has a lot of depth.
2526,Can you help me with the background?,Can you help me with the background?
2527,I think need to add more details.,I think we need to add more details.
2528,This part very tricky to paint.,This part is very tricky to paint.
2529,I need to buy more canvas.,I need to buy more canvases.
2530,This painting very abstract.,This painting is very abstract.
2531,Can you pass me the palette?,Can you pass me the palette?
2532,I think this painting needs more light.,I think this painting needs more light.
2533,This brush very good for blending.,This brush is very good for blending.
2534,I need to fix this mistake.,I need to fix this mistake.
2535,This painting very colourful.,This painting is very colorful.
2536,Can you help me with the shading?,Can you help me with the shading?
2537,I think need to add more highlights.,I think we need to add more highlights.
2538,This part very hard to paint.,This part is very hard to paint.
2539,I need to buy more paint.,I need to buy more paint.
2540,This painting very realistic.,This painting is very realistic.
2541,Can you pass me the red paint?,Can you pass me the red paint?
2542,I think this painting needs more texture.,I think this painting needs more texture.
2543,This brush very good for fine lines.,This brush is very good for fine lines.
2544,I need to clean my palette.,I need to clean my palette.
2545,This colour very hard to match.,This color is very hard to match.
2546,I like using oil paints.,I like using oil paints.
2547,This painting got a lot of emotion.,This painting has a lot of emotion.
2548,Can you help me with the foreground?,Can you help me with the foreground?
2549,I think need to add more shadows.,I think we need to add more shadows.
2550,This part very challenging to paint.,This part is very challenging to paint.
2551,I need to buy more art supplies.,I need to buy more art supplies.
2552,This painting very modern.,This painting is very modern.
2553,Can you pass me the yellow paint?,Can you pass me the yellow paint?
2554,I think this painting needs more balance.,I think this painting needs more balance.
2555,This brush very good for large areas.,This brush is very good for large areas.
2556,I need to fix this colour.,I need to fix this color.
2557,This painting very vibrant.,This painting is very vibrant.
2558,Can you help me with the highlights?,Can you help me with the highlights?
2559,I think need to add more depth.,I think we need to add more depth.
2560,This part very detailed.,This part is very detailed.
2561,I need to buy more easels.,I need to buy more easels.
2562,This painting very classic.,This painting is very classic.
2563,Can you pass me the green paint?,Can you pass me the green paint?
2564,I think this painting needs more harmony.,I think this painting needs more harmony.
2565,This brush very good for edges.,This brush is very good for edges.
2566,I need to fix this line.,I need to fix this line.
2567,This painting very expressive.,This painting is very expressive.
2568,Can you help me with the midtones?,Can you help me with the midtones?
2569,I think need to add more layers.,I think we need to add more layers.
2570,This part very smooth.,This part is very smooth.
2571,I need to buy more varnish.,I need to buy more varnish.
2572,This painting very contemporary.,This painting is very contemporary.
2573,Can you pass me the white paint?,Can you pass me the white paint?
2574,I think this painting needs more unity.,I think this painting needs more unity.
2575,This brush very good for blending.,This brush is very good for blending.
2576,I need to fix this area.,I need to fix this area.
2577,This painting very dynamic.,This painting is very dynamic.
2578,Can you help me with the base layer?,Can you help me with the base layer?
2579,I think need to add more highlights.,I think we need to add more highlights.
2580,This part very intricate.,This part is very intricate.
2581,I need to buy more frames.,I need to buy more frames.
2582,This painting very minimalist.,This painting is very minimalist.
2583,Can you pass me the black paint?,Can you pass me the black paint?
2584,I think this painting needs more rhythm.,I think this painting needs more rhythm.
2585,This brush very good for fine details.,This brush is very good for fine details.
2586,I need to fix this corner.,I need to fix this corner.
2587,This painting very bold.,This painting is very bold.
2588,Can you help me with the underpainting?,Can you help me with the underpainting?
2589,I think need to add more midtones.,I think we need to add more midtones.
2590,This part very soft.,This part is very soft.
2591,I need to buy more sketchbooks.,I need to buy more sketchbooks.
2592,This painting very geometric.,This painting is very geometric.
2593,Can you pass me the purple paint?,Can you pass me the purple paint?
2594,I think this painting needs more movement.,I think this painting needs more movement.
2595,This brush very good for washes.,This brush is very good for washes.
2596,I need to fix this gradient.,I need to fix this gradient.
2597,This painting very subtle.,This painting is very subtle.
2598,Can you help me with the glazing?,Can you help me with the glazing?
2599,I think need to add more saturation.,I think we need to add more saturation.
2600,This part very rough.,This part is very rough.
2601,"Wah, your drawing damn nice leh!","Wow, your drawing is really nice!"
2602,"Eh, can help me draw this part?","Hey, can you help me draw this part?"
2603,I think need to add more colour here.,I think we need to add more color here.
2604,This shading not bad ah.,This shading is not bad.
2605,You use what pencil to draw one?,What pencil did you use to draw this?
2606,I draw until hand pain already.,My hand is tired from drawing.
2607,Can lend me your eraser?,Can I borrow your eraser?
2608,"This part a bit off, need to fix.","This part is a bit off, it needs fixing."
2609,I like how you draw the eyes.,I like how you drew the eyes.
2610,Your drawing skills improve a lot leh.,Your drawing skills have improved a lot.
2611,Can teach me how to draw like you?,Can you teach me how to draw like you?
2612,This drawing got potential sia.,This drawing has potential.
2613,I need to practice more on my lines.,I need to practice more on my lines.
2614,You draw freehand or use ruler?,Did you draw freehand or use a ruler?
2615,I think this part can be more detailed.,I think this part can be more detailed.
2616,Your perspective very good leh.,Your perspective is very good.
2617,I always struggle with proportions.,I always struggle with proportions.
2618,This drawing got a lot of depth.,This drawing has a lot of depth.
2619,You use what software to draw?,What software do you use to draw?
2620,I need to buy new sketchbook soon.,I need to buy a new sketchbook soon.
2621,This part need more contrast.,This part needs more contrast.
2622,I like the texture you create here.,I like the texture you created here.
2623,Can you help me with the background?,Can you help me with the background?
2624,I think need to blend more here.,I think we need to blend more here.
2625,Your line work very clean ah.,Your line work is very clean.
2626,I always mess up the proportions.,I always mess up the proportions.
2627,This drawing got a lot of character.,This drawing has a lot of character.
2628,You use what brush for this effect?,What brush did you use for this effect?
2629,I need to work on my shading skills.,I need to work on my shading skills.
2630,This part can be more realistic.,This part can be more realistic.
2631,Your drawing style very unique leh.,Your drawing style is very unique.
2632,I always struggle with drawing hands.,I always struggle with drawing hands.
2633,This drawing got nice composition.,This drawing has a nice composition.
2634,You use what paper for this drawing?,What paper did you use for this drawing?
2635,I need to practice more on my anatomy.,I need to practice more on my anatomy.
2636,This part need more highlights.,This part needs more highlights.
2637,I like the way you draw hair.,I like the way you draw hair.
2638,Can you show me how to draw this?,Can you show me how to draw this?
2639,I think need to add more shadows here.,I think we need to add more shadows here.
2640,Your drawing very detailed ah.,Your drawing is very detailed.
2641,I always have trouble with perspective.,I always have trouble with perspective.
2642,This drawing got nice flow.,This drawing has a nice flow.
2643,You use what pen for inking?,What pen did you use for inking?
2644,I need to work on my line confidence.,I need to work on my line confidence.
2645,This part can be more dynamic.,This part can be more dynamic.
2646,Your drawing got a lot of emotion.,Your drawing has a lot of emotion.
2647,I always struggle with drawing faces.,I always struggle with drawing faces.
2648,This drawing got nice balance.,This drawing has a nice balance.
2649,You use what markers for colouring?,What markers did you use for coloring?
2650,I need to practice more on my poses.,I need to practice more on my poses.
2651,This part need more depth.,This part needs more depth.
2652,I like the way you draw clothes.,I like the way you draw clothes.
2653,Can you give me some drawing tips?,Can you give me some drawing tips?
2654,I think need to refine this part.,I think we need to refine this part.
2655,Your drawing very expressive ah.,Your drawing is very expressive.
2656,I always have trouble with lighting.,I always have trouble with lighting.
2657,This drawing got nice rhythm.,This drawing has a nice rhythm.
2658,You use what software for digital art?,What software do you use for digital art?
2659,I need to work on my colour theory.,I need to work on my color theory.
2660,This part can be more vibrant.,This part can be more vibrant.
2661,Your drawing got a lot of life.,Your drawing has a lot of life.
2662,I always struggle with drawing feet.,I always struggle with drawing feet.
2663,This drawing got nice harmony.,This drawing has a nice harmony.
2664,You use what tablet for drawing?,What tablet do you use for drawing?
2665,I need to practice more on my gestures.,I need to practice more on my gestures.
2666,This part need more texture.,This part needs more texture.
2667,I like the way you draw animals.,I like the way you draw animals.
2668,Can you critique my drawing?,Can you critique my drawing?
2669,I think need to smooth out this part.,I think we need to smooth out this part.
2670,Your drawing very dynamic ah.,Your drawing is very dynamic.
2671,I always have trouble with anatomy.,I always have trouble with anatomy.
2672,This drawing got nice contrast.,This drawing has a nice contrast.
2673,You use what brush for painting?,What brush did you use for painting?
2674,I need to work on my composition skills.,I need to work on my composition skills.
2675,This part can be more subtle.,This part can be more subtle.
2676,Your drawing got a lot of detail.,Your drawing has a lot of detail.
2677,I always struggle with drawing hair.,I always struggle with drawing hair.
2678,This drawing got nice proportions.,This drawing has nice proportions.
2679,You use what pen for sketching?,What pen did you use for sketching?
2680,I need to practice more on my lighting.,I need to practice more on my lighting.
2681,This part need more highlights.,This part needs more highlights.
2682,I like the way you draw backgrounds.,I like the way you draw backgrounds.
2683,Can you show me your drawing process?,Can you show me your drawing process?
2684,I think need to add more details here.,I think we need to add more details here.
2685,Your drawing very clean ah.,Your drawing is very clean.
2686,I always have trouble with proportions.,I always have trouble with proportions.
2687,This drawing got nice depth.,This drawing has nice depth.
2688,You use what software for colouring?,What software do you use for coloring?
2689,I need to work on my shading techniques.,I need to work on my shading techniques.
2690,This part can be more defined.,This part can be more defined.
2691,Your drawing got a lot of energy.,Your drawing has a lot of energy.
2692,I always struggle with drawing eyes.,I always struggle with drawing eyes.
2693,This drawing got nice movement.,This drawing has nice movement.
2694,You use what brush for inking?,What brush did you use for inking?
2695,I need to practice more on my anatomy.,I need to practice more on my anatomy.
2696,This part need more contrast.,This part needs more contrast.
2697,I like the way you draw expressions.,I like the way you draw expressions.
2698,Can you give me some feedback on my drawing?,Can you give me some feedback on my drawing?
2699,I think need to refine this part more.,I think we need to refine this part more.
2700,Your drawing very lively ah.,Your drawing is very lively.
2701,"Wah, this supermarket got so many things to buy.","Wow, this supermarket has so many things to buy."
2702,"Eh, you got bring your own bag or not?","Hey, did you bring your own bag?"
2703,"Aiyo, the queue so long lah.","Oh dear, the queue is so long."
2704,Can help me take the eggs from the top shelf?,Can you help me get the eggs from the top shelf?
2705,"This one got discount, better buy more.","This one is on discount, better buy more."
2706,I think we need more rice at home.,I think we need more rice at home.
2707,Don't forget to buy the soy sauce.,Don't forget to buy the soy sauce.
2708,"This brand of milk not bad, you want to try?","This brand of milk is not bad, do you want to try it?"
2709,Can you help me find the sugar?,Can you help me find the sugar?
2710,I need to buy some vegetables for dinner.,I need to buy some vegetables for dinner.
2711,"Wah, the fruits here very fresh.","Wow, the fruits here are very fresh."
2712,"Eh, where is the bread section ah?","Hey, where is the bread section?"
2713,"This cereal got promotion, buy two get one free.","This cereal is on promotion, buy two get one free."
2714,I need to buy some snacks for the kids.,I need to buy some snacks for the kids.
2715,Can you help me carry this basket? It's too heavy.,Can you help me carry this basket? It's too heavy.
2716,Don't forget to check the expiry date.,Don't forget to check the expiry date.
2717,I think we need more toilet paper.,I think we need more toilet paper.
2718,"This detergent got offer, should buy now.","This detergent is on offer, we should buy it now."
2719,"Eh, you want to buy ice cream or not?","Hey, do you want to buy ice cream?"
2720,I need to get some chicken for tonight's dinner.,I need to get some chicken for tonight's dinner.
2721,"Wah, the fish here very fresh.","Wow, the fish here is very fresh."
2722,Can you help me find the baking powder?,Can you help me find the baking powder?
2723,"This chocolate very nice, you should try.","This chocolate is very nice, you should try it."
2724,I need to buy some flour for baking.,I need to buy some flour for baking.
2725,"Eh, where is the cashier ah?","Hey, where is the cashier?"
2726,"This yogurt got promotion, buy one get one free.","This yogurt is on promotion, buy one get one free."
2727,I need to buy some cheese for the sandwiches.,I need to buy some cheese for the sandwiches.
2728,Can you help me find the pasta?,Can you help me find the pasta?
2729,"Wah, the meat here very fresh.","Wow, the meat here is very fresh."
2730,"Eh, you want to buy some drinks or not?","Hey, do you want to buy some drinks?"
2731,I need to get some tomatoes for the salad.,I need to get some tomatoes for the salad.
2732,"This brand of coffee not bad, you want to try?","This brand of coffee is not bad, do you want to try it?"
2733,Can you help me find the canned food?,Can you help me find the canned food?
2734,"Wah, the vegetables here very fresh.","Wow, the vegetables here are very fresh."
2735,"Eh, where is the dairy section ah?","Hey, where is the dairy section?"
2736,"This brand of biscuits got promotion, buy two get one free.","This brand of biscuits is on promotion, buy two get one free."
2737,I need to buy some butter for baking.,I need to buy some butter for baking.
2738,Can you help me carry this bag? It's too heavy.,Can you help me carry this bag? It's too heavy.
2739,Don't forget to buy the cooking oil.,Don't forget to buy the cooking oil.
2740,I think we need more cleaning supplies.,I think we need more cleaning supplies.
2741,"This soap got offer, should buy now.","This soap is on offer, we should buy it now."
2742,"Eh, you want to buy some chips or not?","Hey, do you want to buy some chips?"
2743,I need to get some beef for tonight's dinner.,I need to get some beef for tonight's dinner.
2744,"Wah, the prawns here very fresh.","Wow, the prawns here are very fresh."
2745,Can you help me find the baking soda?,Can you help me find the baking soda?
2746,"This candy very nice, you should try.","This candy is very nice, you should try it."
2747,I need to buy some yeast for baking.,I need to buy some yeast for baking.
2748,"Eh, where is the frozen food section ah?","Hey, where is the frozen food section?"
2749,"This ice cream got promotion, buy one get one free.","This ice cream is on promotion, buy one get one free."
2750,I need to buy some ham for the sandwiches.,I need to buy some ham for the sandwiches.
2751,Can you help me find the spaghetti?,Can you help me find the spaghetti?
2752,"Wah, the chicken here very fresh.","Wow, the chicken here is very fresh."
2753,"Eh, you want to buy some juice or not?","Hey, do you want to buy some juice?"
2754,I need to get some cucumbers for the salad.,I need to get some cucumbers for the salad.
2755,"This brand of tea not bad, you want to try?","This brand of tea is not bad, do you want to try it?"
2756,Can you help me find the instant noodles?,Can you help me find the instant noodles?
2757,"Wah, the apples here very fresh.","Wow, the apples here are very fresh."
2758,"Eh, where is the meat section ah?","Hey, where is the meat section?"
2759,"This brand of chips got promotion, buy two get one free.","This brand of chips is on promotion, buy two get one free."
2760,I need to buy some cream for baking.,I need to buy some cream for baking.
2761,Can you help me carry this box? It's too heavy.,Can you help me carry this box? It's too heavy.
2762,Don't forget to buy the vinegar.,Don't forget to buy the vinegar.
2763,I think we need more dishwashing liquid.,I think we need more dishwashing liquid.
2764,"This shampoo got offer, should buy now.","This shampoo is on offer, we should buy it now."
2765,"Eh, you want to buy some biscuits or not?","Hey, do you want to buy some biscuits?"
2766,I need to get some pork for tonight's dinner.,I need to get some pork for tonight's dinner.
2767,"Wah, the crabs here very fresh.","Wow, the crabs here are very fresh."
2768,Can you help me find the corn flour?,Can you help me find the corn flour?
2769,"This jelly very nice, you should try.","This jelly is very nice, you should try it."
2770,I need to buy some baking powder for baking.,I need to buy some baking powder for baking.
2771,"Eh, where is the snacks section ah?","Hey, where is the snacks section?"
2772,"This cheese got promotion, buy one get one free.","This cheese is on promotion, buy one get one free."
2773,I need to buy some bacon for breakfast.,I need to buy some bacon for breakfast.
2774,Can you help me find the macaroni?,Can you help me find the macaroni?
2775,"Wah, the beef here very fresh.","Wow, the beef here is very fresh."
2776,"Eh, you want to buy some soda or not?","Hey, do you want to buy some soda?"
2777,I need to get some lettuce for the salad.,I need to get some lettuce for the salad.
2778,"This brand of juice not bad, you want to try?","This brand of juice is not bad, do you want to try it?"
2779,Can you help me find the tomato sauce?,Can you help me find the tomato sauce?
2780,"Wah, the oranges here very fresh.","Wow, the oranges here are very fresh."
2781,"Eh, where is the seafood section ah?","Hey, where is the seafood section?"
2782,"This brand of crackers got promotion, buy two get one free.","This brand of crackers is on promotion, buy two get one free."
2783,I need to buy some whipping cream for baking.,I need to buy some whipping cream for baking.
2784,Can you help me carry this carton? It's too heavy.,Can you help me carry this carton? It's too heavy.
2785,Don't forget to buy the salt.,Don't forget to buy the salt.
2786,I think we need more laundry detergent.,I think we need more laundry detergent.
2787,"This conditioner got offer, should buy now.","This conditioner is on offer, we should buy it now."
2788,"Eh, you want to buy some cookies or not?","Hey, do you want to buy some cookies?"
2789,I need to get some lamb for tonight's dinner.,I need to get some lamb for tonight's dinner.
2790,"Wah, the lobsters here very fresh.","Wow, the lobsters here are very fresh."
2791,Can you help me find the baking chocolate?,Can you help me find the baking chocolate?
2792,"This pudding very nice, you should try.","This pudding is very nice, you should try it."
2793,I need to buy some cocoa powder for baking.,I need to buy some cocoa powder for baking.
2794,"Eh, where is the beverage section ah?","Hey, where is the beverage section?"
2795,"This butter got promotion, buy one get one free.","This butter is on promotion, buy one get one free."
2796,I need to buy some sausages for breakfast.,I need to buy some sausages for breakfast.
2797,Can you help me find the lasagna sheets?,Can you help me find the lasagna sheets?
2798,"Wah, the pork here very fresh.","Wow, the pork here is very fresh."
2799,"Eh, you want to buy some mineral water or not?","Hey, do you want to buy some mineral water?"
2800,I need to get some bell peppers for the salad.,I need to get some bell peppers for the salad.
2801,"Wah, this fabric very nice leh.","Wow, this fabric is really nice."
2802,You know how to sew or not?,Do you know how to sew?
2803,"I need to buy more thread, running out already.","I need to buy more thread, I'm running out."
2804,This pattern quite difficult to follow leh.,This pattern is quite difficult to follow.
2805,Can help me cut the fabric ah?,Can you help me cut the fabric?
2806,I think I need a new sewing machine.,I think I need a new sewing machine.
2807,"This needle too small, cannot see properly.","This needle is too small, I can't see it properly."
2808,You got extra buttons or not?,Do you have extra buttons?
2809,"I sew this dress myself, nice right?","I sewed this dress myself, isn't it nice?"
2810,"Aiyo, thread tangled again!","Oh no, the thread is tangled again!"
2811,Can borrow your scissors for a while?,Can I borrow your scissors for a while?
2812,"This fabric very hard to sew, keep slipping.","This fabric is very hard to sew, it keeps slipping."
2813,"I need to measure properly, later wrong size.","I need to measure properly, otherwise it will be the wrong size."
2814,You got any nice patterns to recommend?,Do you have any nice patterns to recommend?
2815,I think I need to buy more fabric.,I think I need to buy more fabric.
2816,"This stitch very neat, I like it.","This stitch is very neat, I like it."
2817,Can you help me thread the needle?,Can you help me thread the needle?
2818,"I want to make a quilt, but very time-consuming.","I want to make a quilt, but it's very time-consuming."
2819,"This fabric very soft, good for making clothes.","This fabric is very soft, good for making clothes."
2820,I need to iron the fabric before sewing.,I need to iron the fabric before sewing.
2821,"This sewing machine very old, but still can use.","This sewing machine is very old, but it still works."
2822,"I want to sew a bag, but don't know how to start.","I want to sew a bag, but I don't know how to start."
2823,Can you show me how to do this stitch?,Can you show me how to do this stitch?
2824,"I need to buy more needles, mine all blunt already.","I need to buy more needles, mine are all blunt."
2825,"This fabric pattern very pretty, where you buy one?","This fabric pattern is very pretty, where did you buy it?"
2826,I think I need to adjust the tension on the machine.,I think I need to adjust the tension on the machine.
2827,"This thread colour very nice, match the fabric perfectly.","This thread color is very nice, it matches the fabric perfectly."
2828,I want to make a dress for my daughter.,I want to make a dress for my daughter.
2829,Can you help me pin the fabric together?,Can you help me pin the fabric together?
2830,"This fabric very thick, need stronger needle.","This fabric is very thick, I need a stronger needle."
2831,"I need to buy more pins, mine all missing.","I need to buy more pins, mine are all missing."
2832,"This sewing machine very noisy, but still can use.","This sewing machine is very noisy, but it still works."
2833,"I want to make a cushion cover, but don't know what fabric to use.","I want to make a cushion cover, but I don't know what fabric to use."
2834,Can you help me choose a thread colour?,Can you help me choose a thread color?
2835,"This fabric very expensive, but very good quality.","This fabric is very expensive, but it's very good quality."
2836,"I need to buy more bobbins, mine all full already.","I need to buy more bobbins, mine are all full."
2837,"This stitch very strong, good for heavy fabric.","This stitch is very strong, good for heavy fabric."
2838,"I want to make a skirt, but don't know how to start.","I want to make a skirt, but I don't know how to start."
2839,Can you help me sew this button?,Can you help me sew this button?
2840,"This fabric very stretchy, need to be careful when sewing.","This fabric is very stretchy, I need to be careful when sewing."
2841,"I need to buy more fabric, this one not enough.","I need to buy more fabric, this one is not enough."
2842,"This sewing machine very good, can sew many layers.","This sewing machine is very good, it can sew many layers."
